article_link,date_of_publishing_t,company_covered,stocks_covered,stock_ticker,comment,t_minus_oneday,stockprice_at_t_minus_oneday,stockprice_now,delta_current,t_plus_onemonth,stock_price_at_t_plus_onemonth,delta_onemonth
https://hindenburgresearch.com/facedrive/,"July 23, 2020",Facedrive,Steer Technologies Inc,CVE:STER,Facedrive Announces Name Change to STEER (newswire.ca),"July 22, 2020",15.08,0.49,-0.97,"August 22, 2020",19.81,0.31
https://hindenburgresearch.com/j2-global/,"June 30, 2020",J2 Global,J2 Global,NASDAQ:JCOM,Intermediary Reporting? Unsure if the short position is previous or basis this report. JCOM:US has changed to a new ticker symbol: ZD:US,"June 29, 2020",53.62,88.08,0.64,"July 30, 2020",53.34,-0.01
https://hindenburgresearch.com/ideanomics/,"June 26, 2020",Ideanomics,Ideanomics,NASDAQ:IDEX,,"June 25, 2020",2.44,0.19,-0.92,"July 26, 2020",1.25,-0.49
https://hindenburgresearch.com/losing-with-wins/,"June 17, 2020",Wins Finance Holdings,Wins Finance Holdings,NASDAQ:WINS,,"June 16, 2020",1,0.00,-1.00,"July 17, 2020",0,-1.00
https://hindenburgresearch.com/genius-bagholder-guide/,"June 5, 2020",Genius Brands,Genius Brands,NASDAQ:GNUS,"""We Think Genius Brands Will Be a $1.50 Stock Within a Month""","June 4, 2020",6.86,0.68,-0.90,"July 5, 2020",2.66,-0.61
https://hindenburgresearch.com/sorrento/,"May 20, 2020",Sorrento Therapeutics,Sorrento Therapeutics,NASDAQ:SRNE,,"May 19, 2020",5.42,1.01,-0.81,"June 19, 2020",4.8,-0.11
https://hindenburgresearch.com/cmru/,"May 17, 2020",China Metal Resources Utilization,China Metal Resources Utilization,HKG:1636,,"May 16, 2020",2.8,0.10,-0.96,"June 16, 2020",0.53,-0.81
https://hindenburgresearch.com/new-pacific-metals/,"April 20, 2020",New Pacific Metals,New Pacific Metals,OTC:NUPMF,,"April 19, 2020",4.46,3.83,-0.14,"May 20, 2020",5.3,0.19
,"April 20, 2020",, Silvercorp,NYSE:SVM,,"April 19, 2020",3.35,3.48,0.04,"May 20, 2020",4.13,0.23
https://hindenburgresearch.com/scworx-evidence-points-to-its-massive-covid-19-test-deal-being-completely-bogus-price-target-back-to-2-25-or-lower/,"April 17, 2020",SCWorx,SCWorx,NASDAQ:WORX,,"April 16, 2020",6.95,0.39,-0.94,"May 17, 2020",,-1.00
https://hindenburgresearch.com/predictive-covid/,"March 27, 2020",Predictive Technology Group,Predictive Technology Group,OTCMKTS: PRED,Existing Short Position,"March 26, 2020",1,0.00,-1.00,"April 26, 2020",0,-1.00
https://hindenburgresearch.com/hf-foods/,"March 23, 2020",HF Foods Group Inc,HF Foods Group Inc,NASDAQ:HFFG,,"March 22, 2020",9.8,4.10,-0.58,"April 22, 2020",6.58,-0.33
https://hindenburgresearch.com/pharmacielo/,"March 2, 2020",PharmaCielo,PharmaCielo,OTC:PCLOF,,"March 1, 2020",1.94,0.24,-0.88,"April 1, 2020",0.69,-0.64
https://hindenburgresearch.com/nextech-ar/,"February 10, 2020",NexTech AR,NexTech AR,OTC:NEXCF,,"February 9, 2020",2.2,0.77,-0.65,"March 11, 2020",1.15,-0.48
https://hindenburgresearch.com/opera-phantom-of-the-turnaround/,"January 16, 2020",Opera,Opera,NASDAQ:OPRA,,"January 15, 2020",9.02,7.21,-0.20,"February 15, 2020",6.77,-0.25
https://hindenburgresearch.com/smiledirectclub-moving-fast-and-breaking-things-in-peoples-mouths/,"October 4, 2019",SmileDirectClub ,SmileDirectClub ,NASDAQ:SDC,,"October 3, 2019",13.7,0.53,-0.96,"November 3, 2019",13.05,-0.05
https://hindenburgresearch.com/bloom-energy-a-clean-energy-darling-wilting-to-its-demise/,"September 17, 2019",Bloom Energy,Bloom Energy,NYSE:BE,,"September 16, 2019",4.19,25.29,5.04,"October 17, 2019",2.87,-0.32
https://hindenburgresearch.com/davita-is-secretly-trying-to-defend-its-charity-scheme-with-a-lobbying-scheme/,"August 13, 2019",DaVita ,Davita Inc,NYSE:DVA,"No Position in the Stock, Long or Short","August 12, 2019",59.02,77.48,0.31,"September 12, 2019",60.3,0.02
https://hindenburgresearch.com/predictive-technology/,"July 11, 2019",Predictive Technology Group,Predictive Technology Group,OTCMKTS:PRED,,"July 10, 2019",3.4,0.00,-1.00,"August 10, 2019",2.35,-0.31
https://hindenburgresearch.com/eros-international-on-the-ground-research-employee-interviews-and-private-company-documents-expose-egregious-accounting-irregularities/,"June 7, 2019",Eros International,Eros International,NSE:EROSMEDIA,,"June 6, 2019",45.5,25.10,-0.45,"July 7, 2019",15.9,-0.65
https://hindenburgresearch.com/sky-solar-court-records-show-that-lender-already-withdrew-buyout-proposal-but-retail-investors-dont-seem-to-realize-it-yet/,"February 25, 2019",Sky Solar,Sky Solar,NASDAQ:SKYS,,"February 24, 2019",21.39,58.03,1.71,"March 27, 2019",19,-0.11
https://hindenburgresearch.com/yangtze-river-port-logistics-total-zero-on-the-ground-research-shows-assets-appear-to-be-largely-fabricated/,"December 6, 2018",Yangtze River Port & Logistics,Yangtze River Port & Logistics,NASDAQ:YRIV,,"December 5, 2018",11.65,0.00,-1.00,"January 5, 2019",3.44,-0.70
https://hindenburgresearch.com/aphria-a-shell-game-with-a-cannabis-business-on-the-side/,"December 3, 2018",Aphria Inc,Aphria Inc,NYSE:APHA,"Three posts within Dec, I am using the first post for analysis","December 2, 2018",43.97,79.36,0.80,"January 2, 2019",38.77,-0.12
https://hindenburgresearch.com/genworth-we-see-almost-no-chance-of-regulatory-approval-this-deal-would-be-a-disaster-for-policyholders/,"November 1, 2018",Genworth Financial,Genworth Financial,NYSE:GNW,"Two posts within Nov, I am using the first post for analysis","October 31, 2018",4.28,5.49,0.28,"December 1, 2018",4.75,0.11
https://hindenburgresearch.com/ladenburg-near-term-headwinds-and-unsustainable-balance-sheet-engineering/,"September 18, 2018",Ladenburg Thalmann Financial Services Inc.,Ladenburg Thalmann Financial Services Inc.,OTCMKTS:LTSF,,"September 17, 2018",24.47,14.50,-0.41,"October 18, 2018",24.1,-0.02
https://hindenburgresearch.com/opko-health-if-these-sec-charges-were-surprising-then-you-havent-been-paying-attention/,"September 11, 2018","OPKO Health, Inc.","OPKO Health, Inc.",NADSAQ:OPK,Existing Short Position,"September 10, 2018",4.58,1.30,-0.72,"October 11, 2018",3.65,-0.20
https://hindenburgresearch.com/apollo-medical-look-out-below-russells-latest-float-calculation-screw-up/,"September 4, 2018","Apollo Medical Holdings, Inc.","Apollo Medical Holdings, Inc.",NASDAQ:AMEH,General Reporting? No short information,"September 3, 2018",14.42,33.54,1.33,"October 4, 2018",18.61,0.29
https://hindenburgresearch.com/we-believe-genprex-is-a-disaster-in-the-making/,"May 9, 2018","Genprex, Inc","Genprex, Inc",NASDAQ:GNPX,,"May 8, 2018",15.9,1.33,-0.92,"June 8, 2018",10.33,-0.35
https://hindenburgresearch.com/inpixon-if-this-sketchy-deal-is-legal-the-public-markets-may-be-in-deep-trouble/,"April 30, 2018",Inpixon,Inpixon,NASDAQ:INPX,"No Position in the Stock, Long or Short","April 29, 2018",48586.5,1.53,-1.00,"May 30, 2018",47115,-0.03
https://hindenburgresearch.com/pulse-biosciences-failed-fda-clearance-new-sec-investigation-and-an-uncertain-path-forward/,"April 24, 2018",Pulse Biosciences,Pulse Biosciences,NASDAQ:PLSE,,"April 23, 2018",17.7,3.21,-0.82,"May 24, 2018",15.46,-0.13
https://hindenburgresearch.com/could-rampant-red-flags-drown-aphrias-proposed-nuuvera-acquisition/,"March 21, 2018",Aphria Inc.,Nuuvera ,NUUVF,"Two posts within Mar, NUUVF is now Defunct","March 20, 2018",1,0.00,-1.00,"April 20, 2018",0,-1.00
,"March 21, 2018",,Aphria Inc.,OTC:APHQF,,"March 20, 2018",46,79.36,0.73,"April 20, 2018",42.61,-0.07
https://hindenburgresearch.com/crius-energy-trust-an-unsustainable-collision-course/,"February 28, 2018",Crius Energy Trust,Crius Energy Trust,OTC:CRIUF,CRIUF is now Defunct,"February 27, 2018",1,0.00,-1.00,"March 30, 2018",0,-1.00
https://hindenburgresearch.com/opko-health-new-signs-of-chaos-in-key-diagnostics-division/,"February 27, 2018","OPKO Health, Inc.","OPKO Health, Inc.",NADSAQ:OPK,Existing Short Position,"February 26, 2018",3.8,1.30,-0.66,"March 29, 2018",3.17,-0.17
https://hindenburgresearch.com/chicken-soup-for-the-soul-entertainment-is-a-toxic-mess/,"February 14, 2018","Chicken Soup for the Soul Entertainment, Inc.","Chicken Soup for the Soul Entertainment, Inc. Cl A",NASDAQ:CSSE,,"February 13, 2018",8.22,5.74,-0.30,"March 16, 2018",7.95,-0.03
https://hindenburgresearch.com/riot-blockchain-this-crypto-clown-car-continues-hurtling-toward-the-abyss/,"January 9, 2018","Riot Blockchain, Inc.","Riot Blockchain, Inc.",NASDAQ: RIOT,"Existing Short Position, Three posts within Jan-Feb, I am using the first post for analysis","January 8, 2018",21.88,6.23,-0.72,"February 8, 2018",11.46,-0.48
https://hindenburgresearch.com/marathon-patent-group-bright-red-flags-with-this-newfangled-blockchain-play/,"December 13, 2017","Marathon Patent Group, Inc.","Marathon Patent Group, Inc.",NASDAQ: MARA,,"December 12, 2017",17.64,8.75,-0.50,"January 12, 2018",16.68,-0.05
https://hindenburgresearch.com/riot-blockchain-sudden-business-pivot-suspicious-acquisitions-questionable-special-dividend/,"December 11, 2017","Riot Blockchain, Inc.","Riot Blockchain, Inc.",NASDAQ: RIOT,,"December 10, 2017",15.86,6.23,-0.61,"January 10, 2018",21.88,0.38
https://hindenburgresearch.com/opko-health-a-house-of-cards-tumbling-in-the-dark/,"November 17, 2017","OPKO Health, Inc.","OPKO Health, Inc.",NADSAQ:OPK,,"November 16, 2017",5.5,1.30,-0.76,"December 17, 2017",4.9,-0.11
https://hindenburgresearch.com/polarityte-investors-beware/,"October 7, 2017","PolarityTE, Inc.","PolarityTE, Inc.",NASDAQ:PTE,,"October 6, 2017",669,0.79,-1.00,"November 6, 2017",670.5,0.00
https://hindenburgresearch.com/eros-international-new-receivables-accounting-red-flags/,"August 2, 2017",Eros International,Eros International,NYSE:EROS,"Two posts within Aug, I am using the first post for analysis","August 1, 2017",232,25.10,-0.89,"September 1, 2017",230,-0.01
